Name,State,Latitude,Longitude,IT Load (MW),PUE,Website,Source URL,Space Type,Classification_Source,Is_Aggregated,Annual_Heat_MWh,Confidence_Score,Manual_Verified_MW
Microsoft El Mirage Campus,arizona,33.5615855388191,-112.3377024293308,50.0,1.22,https://datacenters.microsoft.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/arizona/phoenix/microsoft-el-mirage-campus/,Hyperscale,P2,False,394200.0,1,
Microsoft Goodyear (PHX70),arizona,33.4926119,-112.4384401,50.0,1.22,https://datacenters.microsoft.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/arizona/phoenix/microsoft-goodyear-2/,Hyperscale,P2,False,394200.0,1,
Microsoft Goodyear (PHX71),arizona,33.49151301163371,-112.4385814834791,50.0,1.22,https://datacenters.microsoft.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/arizona/phoenix/microsoft-goodyear-phx71/,Hyperscale,P2,False,394200.0,1,
Microsoft Goodyear Airpark (PHX11),arizona,33.4090243,-112.3648036,50.0,1.22,https://datacenters.microsoft.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/arizona/phoenix/microsoft-goodyear-phx11/,Hyperscale,P2,False,394200.0,1,
Microsoft Goodyear Airpark (PHX12),arizona,33.41029184289314,-112.3649324595281,50.0,1.22,https://datacenters.microsoft.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/arizona/phoenix/microsoft-goodyear-phx12/,Hyperscale,P2,False,394200.0,1,
Microsoft Goodyear Airpark (PHX13),arizona,33.41107995716803,-112.3649324595281,50.0,1.22,https://datacenters.microsoft.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/arizona/phoenix/microsoft-goodyear-phx13/,Hyperscale,P2,False,394200.0,1,
Microsoft Goodyear Airpark (PHX14),arizona,33.411250117266,-112.3649861037059,50.0,1.22,https://datacenters.microsoft.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/arizona/phoenix/microsoft-goodyear-phx14/,Hyperscale,P2,False,394200.0,1,
Microsoft Goodyear Airpark (PHX15),arizona,33.41259347478222,-112.3645354925695,50.0,1.22,https://datacenters.microsoft.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/arizona/phoenix/microsoft-goodyear-phx15/,Hyperscale,P2,False,394200.0,1,
Microsoft Goodyear Airpark Campus,arizona,33.41017715910144,-112.3648359175751,50.0,1.22,https://datacenters.microsoft.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/arizona/phoenix/microsoft-goodyear-airpark-campus/,Hyperscale,P2,False,394200.0,1,
Microsoft Goodyear Campus,arizona,33.49216087345456,-112.4386791440974,50.0,1.22,https://datacenters.microsoft.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/arizona/phoenix/microsoft-goodyear-campus/,Hyperscale,P2,False,394200.0,1,
Microsoft GoodyearAirpark (PHX10),arizona,33.4079525,-112.364793,50.0,1.22,https://datacenters.microsoft.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/arizona/phoenix/microsoft-goodyear-1/,Hyperscale,P2,False,394200.0,1,
Google Little Rock Port,arkansas,34.68990822432159,-92.224460134994,50.0,1.22,https://datacenters.google/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/arkansas/little-rock/google-little-rock-port/,Hyperscale,P2,False,394200.0,1,
