Name,State,Latitude,Longitude,IT Load (MW),PUE,Website,Source URL,Space Type,Classification_Source,Is_Aggregated,Annual_Heat_MWh,Confidence_Score,Manual_Verified_MW
Crusoe Goodnight Campus DC2,texas,35.019574,-101.301095,20.0,1.14,https://www.crusoe.ai/cloud?utm_source=datacentermap.com,https://www.datacentermap.com/usa/texas/amarillo/crusoe-goodnight-campus-dc2/,AI Specialized,P2,False,157680.0,1,
Crusoe Goodnight Campus DC3,texas,35.019618,-101.298813,20.0,1.14,https://www.crusoe.ai/cloud?utm_source=datacentermap.com,https://www.datacentermap.com/usa/texas/amarillo/crusoe-goodnight-campus-dc3/,AI Specialized,P2,False,157680.0,1,
Crusoe Goodnight Campus DC4,texas,35.023104,-101.304241,20.0,1.14,https://www.crusoe.ai/cloud?utm_source=datacentermap.com,https://www.datacentermap.com/usa/texas/amarillo/crusoe-goodnight-campus-dc4/,AI Specialized,P2,False,157680.0,1,
Crusoe Goodnight Campus DC5,texas,35.023104,-101.30153,20.0,1.14,https://www.crusoe.ai/cloud?utm_source=datacentermap.com,https://www.datacentermap.com/usa/texas/amarillo/crusoe-goodnight-campus-dc5/,AI Specialized,P2,False,157680.0,1,
Crusoe Goodnight Campus DC6,texas,35.023186,-101.298819,20.0,1.14,https://www.crusoe.ai/cloud?utm_source=datacentermap.com,https://www.datacentermap.com/usa/texas/amarillo/crusoe-goodnight-campus-dc6/,AI Specialized,P2,False,157680.0,1,
Crusoe Goodnight Campus DC7,texas,35.026677,-101.303261,20.0,1.14,https://www.crusoe.ai/cloud?utm_source=datacentermap.com,https://www.datacentermap.com/usa/texas/amarillo/crusoe-goodnight-campus-dc7/,AI Specialized,P2,False,157680.0,1,
Crusoe Port of Victoria Campus,texas,28.6909008,-96.9664993,20.0,1.14,https://www.crusoe.ai/cloud?utm_source=datacentermap.com,https://www.datacentermap.com/usa/texas/houston/crusoe-port-of-victoria-campus/,AI Specialized,P2,False,157680.0,1,
Hostrunway Houston,texas,29.7966831,-95.5615264,20.0,1.14,https://www.hostrunway.com?utm_source=datacentermap.com,https://www.datacentermap.com/usa/texas/houston/hostrunway-data-center2/,AI Specialized,P3,False,157680.0,1,
SDC San Marcos,texas,29.80049409875798,-97.97416723652093,20.0,1.14,https://sabeydatacenters.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/texas/austin/sdc-san-marcos/,AI Specialized,P3,False,157680.0,1,
Serverfarm Houston Data Center CTX1,texas,29.9973255,-95.5640711,20.0,1.14,https://www.serverfarmllc.com/ctx1-houston-data-center/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/texas/houston/serverfarm-ctx1/,AI Specialized,P3,False,157680.0,1,
Serverfarm Houston Data Center HTX1,texas,30.0187195,-95.8637117,20.0,1.14,https://www.serverfarmllc.com/htx1-houston-data-center/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/texas/houston/serverfarm-htx1/,AI Specialized,P3,False,157680.0,1,
Serverfarm Houston Data Center HTX2,texas,30.015634,-95.8634429,20.0,1.14,https://www.serverfarmllc.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/texas/houston/serverfarm-htx2/,AI Specialized,P3,False,157680.0,1,
SDC Ashburn - Building A,virginia,39.01539827769066,-77.4782544161659,20.0,1.14,https://sabeydatacenters.com/data-center-locations/ashburn-data-center/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/virginia/ashburn/intergateashburn/,AI Specialized,P3,False,157680.0,1,
SDC Ashburn - Building B,virginia,39.01450756214319,-77.47988976675335,20.0,1.14,https://sabeydatacenters.com/locations/ashburn-data-center?utm_source=datacentermap.com,https://www.datacentermap.com/usa/virginia/ashburn/sdc-ashburn-b/,AI Specialized,P3,False,157680.0,1,
SDC Ashburn - Building C,virginia,39.0139352,-77.4767866,20.0,1.14,https://sabeydatacenters.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/virginia/ashburn/intergate-ashburn/,AI Specialized,P3,False,157680.0,1,
Serverfarm Vienna Cloud,virginia,38.90883923433751,-77.22009651856133,20.0,1.14,https://www.serverfarmllc.com/united-states-data-centers/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/virginia/vienna-virginia/serverfarm-vienna-cloud/,AI Specialized,P3,False,157680.0,1,
Hostrunway Seattle,washington,47.4931576,-122.2938323,20.0,1.14,https://www.hostrunway.com/data-centers.php?utm_source=datacentermap.com,https://www.datacentermap.com/usa/washington/seattle/hostrunway-seattle/,AI Specialized,P3,False,157680.0,1,
SDC Columbia - Building A,washington,47.40877034350666,-120.1892595367089,20.0,1.14,https://sabeydatacenters.com/locations/east-wenatchee-data-center?utm_source=datacentermap.com,https://www.datacentermap.com/usa/washington/wenatchee/sdc-columbia-building-a/,AI Specialized,P3,False,157680.0,1,
SDC Columbia - Building B,washington,47.40715076003269,-120.1874812613416,20.0,1.14,https://sabeydatacenters.com/locations/east-wenatchee-data-center?utm_source=datacentermap.com,https://www.datacentermap.com/usa/washington/wenatchee/sdc-columbia-building-b/,AI Specialized,P3,False,157680.0,1,
