res_space_heating_kwh,res_space_cooling_kwh,res_heating_load_kwh,res_cooling_load_kwh,res_space_heating_mbtu,res_space_cooling_mbtu,fips,com_space_heating_kwh,com_space_cooling_kwh,com_space_heating_mbtu,com_space_cooling_mbtu,total_space_heating_kwh,total_space_heating_mbtu,total_space_cooling_kwh,total_space_cooling_mbtu
280522538.8117908,357077823.4394577,300652812.9286704,980433455.4757118,957182.7366263416,1218400.238626358,01081,51892741.9160315,115405966.76413406,177065.40418685155,393781.5462465059,332415280.7278223,1134248.140813193,472483790.20359176,1612181.784872864
394777022.3118104,170446557.87058327,410820345.6046179,484599194.4194066,1347035.2584650652,581587.8588656477,01083,16426159.826962302,21879510.227367893,56048.3898442908,74655.99578623154,411203182.13877267,1403083.648309356,192326068.09795117,656243.8546518793
26889831.99380899,27911253.19195349,30621776.36998569,73699868.55149098,91751.92511901939,95237.15928889858,01085,294894.3584317701,1279604.1195243688,1006.2214259680969,4366.190959602119,27184726.35224076,92758.1465449875,29190857.31147786,99603.35024850068
49893594.16171918,63005097.10460937,57137856.35733248,161362425.8069392,170244.02817015682,214982.33804471602,01087,52308.7881628533,103087.75623496778,178.48501305957458,351.7500627350954,49945902.94988203,170422.51318321636,63108184.86084434,215334.08810745113
1373972168.5553894,828978036.0235614,1450807332.3012557,2231569457.1521444,4688188.143158924,2828590.7737935064,01089,236973544.23024786,384208306.8760388,808587.3831568863,1310973.3006406208,1610945712.7856374,5496775.52631581,1213186342.8996,4139564.074434127
92783775.6300609,52338646.87835576,87789223.71545395,181096208.73660207,316591.41774590727,178586.89523680657,01091,5672903.823529965,8632503.015504293,19356.75339822718,29455.32610432885,98456679.45359086,335948.1711441344,60971149.89386005,208042.22134113542
121694097.11774014,66777060.68578006,123029181.1594854,191422328.21035615,415237.5399275201,227852.81340249896,01093,16308688.904550962,15211832.75304891,55647.56237615233,51904.933433653816,138002786.0222911,470885.10230367235,81988893.43882897,279757.7468361528
331253621.7174659,185199118.65898478,339982713.2796425,520290538.6153127,1130284.3953142774,631925.6911393056,01095,74335425.28334618,158455797.53624156,253643.0266971674,540673.6819169064,405589047.00081205,1383927.4220114448,343654916.1952263,1172599.373056212
885538826.841642,1041970753.5500225,869078380.3862094,2661686817.024613,3021584.2236970942,3555352.170959681,01097,117205471.76279172,544735594.956969,399921.71283163567,1858715.2024476621,1002744298.6044338,3421505.9365287297,1586706348.5069914,5414067.3734073425
34967461.3119962,63466844.2031453,41256224.00549038,172300447.17684415,119313.94337603734,216557.88471300862,01099,3721264.7600766006,8822862.320729941,12697.483780977293,30104.859084780102,38688726.0720728,132011.4271570146,72289706.52387524,246662.7437977887
