Name,State,Latitude,Longitude,IT Load (MW),PUE,Website,Source URL,Space Type,Classification_Source,Is_Aggregated,Confidence_Score,Annual_Heat_MWh
"DRFortress - Honolulu, Hawaii",hawaii,21.335541,-157.9162977,4.2,1.91,https://www.drfortress.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/hawaii/honolulu/the-fort-honolulu/,Small,P1,False,5,33112.8
Hawaiian Telcom - Endeavor Data Center,hawaii,21.331914,-157.887724,15.0,1.68,https://www.hawaiiantel.com/business/Business/Products-Services/Cloud-Services/Data-Center-Colocation-Services?utm_source=datacentermap.com,https://www.datacentermap.com/usa/hawaii/honolulu/endeavor/,Midsize/Colo,P3,False,1,118260.0
MTP Data Center,hawaii,21.4809474,-158.0192693,1.0,1.91,https://servpac.com/data-center-colocation/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/hawaii/honolulu/mtp-data-center/,Small,P1,False,5,7884.0
Cogent Data Center - Hawaii,hawaii,21.411494,-157.9747658,0.8,1.91,https://www.cogentco.com/en/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/hawaii/honolulu/cogent-data-center-hawaii/,Small,P1,False,5,6307.200000000001
Servpac Puahale,hawaii,21.3319034,-157.878289,15.0,1.68,http://servpac.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/hawaii/honolulu/puahale/,Midsize/Colo,P3,False,1,118260.0
University of Hawaii ITS Data Center,hawaii,21.2988159,-157.8164309,1.0,1.91,https://www.hawaii.edu/its/datacenter/services.php?cat=dc&utm_source=datacentermap.com,https://www.datacentermap.com/usa/hawaii/honolulu/university-of-hawaii-its-data-center/,Small,P4,False,1,7884.0
AlohaNAP,hawaii,21.3347722,-158.0877863,6.0,1.91,https://1547realty.com/data-centers/haii1-kapolei-hawaii/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/hawaii/kapolei/alohanap/,Small,P1,False,5,47304.0
Hawaiian Telcom - Kawaihae Data Center,hawaii,20.0381817738498,-155.8291595730143,15.0,1.68,https://www.hawaiiantel.com/business/Business/Products-Services/Cloud-Services/Data-Center-Colocation-Services?utm_source=datacentermap.com,https://www.datacentermap.com/usa/hawaii/waimea/hawaiian-telcom-kawaihae/,Midsize/Colo,P3,False,1,118260.0
Lumen Honolulu,hawaii,21.334899,-157.914909,15.0,1.68,https://www.lumen.com/en-us/home.html?utm_source=datacentermap.com,https://www.datacentermap.com/usa/hawaii/honolulu/twtc-honolulu/,Midsize/Colo,P2,False,1,118260.0
