Name,State,Latitude,Longitude,IT Load (MW),PUE,Website,Source URL,Space Type,Classification_Source,Annual_Heat_MWh
Lumen Newark,new-jersey,40.736729,-74.173286,15.0,1.68,https://www.lumen.com/en-us/home.html?utm_source=datacentermap.com,https://www.datacentermap.com/usa/new-jersey/newark/level-3-newark/,Midsize/Colo,P2,118260.0
Lumen Newark 1,new-jersey,39.6602363,-75.7798307,15.0,1.68,https://www.lumen.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/new-jersey/newark/level3-newark1/,Midsize/Colo,P2,118260.0
3 Corporate Place (EWR11),new-jersey,40.5545366,-74.4568998,3.3,1.91,,https://www.datacentermap.com/usa/new-jersey/piscataway/3-corporate-place/,Small,P1,26017.199999999997
365 S. Randolphville Road (EWR12),new-jersey,40.5529182,-74.4592115,14.4,1.68,,https://www.datacentermap.com/usa/new-jersey/piscataway/365-south-randolphville/,Midsize/Colo,P1,113529.6
DataBank EWR2 - Piscataway,new-jersey,40.5492738,-74.4582426,3.0,1.91,https://www.databank.com/data-centers/new-jersey/piscataway/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/new-jersey/piscataway/databank-ewr2/,Small,P1,23652.0
1115 Centennial Avenue (EWR19),new-jersey,40.5529182,-74.4592115,4.8,1.91,,https://www.datacentermap.com/usa/new-jersey/piscataway/1115-centennial-avenue/,Small,P1,37843.200000000004
Csquare - New York EWR3-A,new-jersey,40.553721,-74.457221,5.4,1.91,https://centersquaredc.com/data-centers/new-york-new-jersey?utm_source=datacentermap.com,https://www.datacentermap.com/usa/new-jersey/piscataway/cyxtera-ewr3a/,Small,P1,42573.600000000006
Digital Fortress New Jersey,new-jersey,40.544659,-74.49575,5.0,1.91,https://digital-fortress.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/new-jersey/piscataway/digital-fortress-piscataway/,Small,P1,39420.0
Constant Hosting PNJ1,new-jersey,40.5572279,-74.4840422,36.0,1.22,https://www.constant.com?utm_source=datacentermap.com,https://www.datacentermap.com/usa/new-jersey/piscataway/constant-hosting-pnj1/,Hyperscale,P1,283824.0
Hammer Piscataway Data Center,new-jersey,40.5495735,-74.4557503,1.0,1.91,https://hmmrgroup.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/new-jersey/piscataway/open-data-centers/,Small,P4,7884.0
ColoCrossing NJ1,new-jersey,40.5571626,-74.4842568,36.4,1.22,https://www.colocrossing.com/datacenter/new-york-city-ny/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/new-jersey/piscataway/colocrossing-nj1/,Hyperscale,P1,286977.6
ReliableSite NYC Metro,new-jersey,40.5571597,-74.4841497,36.4,1.22,https://www.reliablesite.net/data-center/new-york-city-metro.aspx?utm_source=datacentermap.com,https://www.datacentermap.com/usa/new-jersey/piscataway/reliablesite-nyc-metro/,Hyperscale,P1,286977.6
QTS Piscataway 1 DC1,new-jersey,40.5569046,-74.4847346,52.0,1.22,https://qtsdatacenters.com/data-centers/piscataway?utm_source=datacentermap.com,https://www.datacentermap.com/usa/new-jersey/piscataway/qts-piscataway/,Hyperscale,P1,409968.00000000006
24Shells NJ1,new-jersey,40.5571382,-74.484171,15.0,1.68,http://www.24shells.net?utm_source=datacentermap.com,https://www.datacentermap.com/usa/new-jersey/piscataway/24shells-nj1/,Midsize/Colo,P3,118260.0
Blue Hill New Jersey,new-jersey,40.6098112,-74.71093599999999,15.0,1.68,https://www.bluehilldata.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/new-jersey/piscataway/blue-hill-new-jersey/,Midsize/Colo,P3,118260.0
Equinix NY4,new-jersey,40.7764996,-74.06985089999999,15.0,1.68,https://www.equinix.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/new-jersey/secaucus/equinix-ny4/,Midsize/Colo,P2,118260.0
Equinix NY5,new-jersey,40.7785344,-74.0722373,10.0,1.68,https://equinix.com?utm_source=datacentermap.com,https://www.datacentermap.com/usa/new-jersey/secaucus/equinix-secaucus/,Midsize/Colo,P1,78840.0
Csquare - New York EWR5-A,new-jersey,40.78623,-74.06912009999999,2.0,1.91,https://www.evoquedcs.com/data-centers/secaucus?utm_source=datacentermap.com,https://www.datacentermap.com/usa/new-jersey/secaucus/evoque-nyc3/,Small,P1,15768.0
CoreSite Secaucus (NY3),new-jersey,40.78505169854645,-74.06526748830495,15.0,1.68,https://www.coresite.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/new-jersey/secaucus/coresite-ny3/,Midsize/Colo,P1,118260.0
Equinix NY2,new-jersey,40.7778177,-74.07590859999999,15.0,1.68,https://www.equinix.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/new-jersey/secaucus/equinix-secaucus-2/,Midsize/Colo,P2,118260.0
H5 Data Centers New Jersey,new-jersey,40.7852512,-74.0749908,5.0,1.91,https://h5datacenters.com/new-jersey-data-center.html?utm_source=datacentermap.com,https://www.datacentermap.com/usa/new-jersey/secaucus/h5-new-jersey/,Small,P1,39420.0
