Name,State,Latitude,Longitude,IT Load (MW),PUE,Website,Source URL,Space Type,Classification_Source,Is_Aggregated,Confidence_Score,Annual_Heat_MWh
Gotspace Norwich Campus,connecticut,41.586958,-72.104524,96.0,1.22,https://www.gotspacedatapartners.com/our-data-centers?utm_source=datacentermap.com,https://www.datacentermap.com/usa/connecticut/norwich/gotspace-norwich-campus/,Hyperscale,P1,False,5,756864.0
Gotspace Wallingford 1 - Building 1,connecticut,41.484841,-72.772322,32.0,1.22,https://www.gotspacedatapartners.com/our-data-centers?utm_source=datacentermap.com,https://www.datacentermap.com/usa/connecticut/wallingford/gotspace-wallingford-1-building-1/,Hyperscale,P1,False,5,252288.0
Gotspace Bozrah Campus,connecticut,41.560325,-72.173142,96.0,1.22,https://www.gotspacedatapartners.com/our-data-centers?utm_source=datacentermap.com,https://www.datacentermap.com/usa/connecticut/norwich/gotspace-bozrah-campus/,Hyperscale,P1,False,5,756864.0
Gotspace Griswold 1 Campus,connecticut,41.5859835,-71.97401479999999,80.0,1.22,https://www.gotspacedatapartners.com/our-data-centers?utm_source=datacentermap.com,https://www.datacentermap.com/usa/connecticut/norwich/gotspace-griswold-1-campus/,Hyperscale,P1,False,5,630720.0
Gotspace Norwich - Building 2,connecticut,41.586958,-72.104524,32.0,1.22,https://www.gotspacedatapartners.com/our-data-centers?utm_source=datacentermap.com,https://www.datacentermap.com/usa/connecticut/norwich/gotspace-norwich-building-2/,Hyperscale,P1,False,5,252288.0
Gotspace Norwich - Building 3,connecticut,41.588389,-72.104232,32.0,1.22,https://www.gotspacedatapartners.com/our-data-centers?utm_source=datacentermap.com,https://www.datacentermap.com/usa/connecticut/norwich/gotspace-norwich-building-3/,Hyperscale,P1,False,5,252288.0
Gotspace Griswold 1 - Building 3,connecticut,41.58621,-71.970919,16.0,1.68,https://www.gotspacedatapartners.com/our-data-centers?utm_source=datacentermap.com,https://www.datacentermap.com/usa/connecticut/norwich/gotspace-griswold-1-building-3/,Midsize/Colo,P1,False,5,126144.0
Gotspace Norwich - Building 1,connecticut,41.584068,-72.106362,32.0,1.22,https://www.gotspacedatapartners.com/our-data-centers?utm_source=datacentermap.com,https://www.datacentermap.com/usa/connecticut/norwich/gotspace-norwich-building-1/,Hyperscale,P1,False,5,252288.0
Gotspace Bozrah - Building 2,connecticut,41.560325,-72.173142,32.0,1.22,https://www.gotspacedatapartners.com/our-data-centers?utm_source=datacentermap.com,https://www.datacentermap.com/usa/connecticut/norwich/gotspace-bozrah-building-2/,Hyperscale,P1,False,5,252288.0
Gotspace Bozrah - Building 3,connecticut,41.559535,-72.169999,32.0,1.22,https://www.gotspacedatapartners.com/our-data-centers?utm_source=datacentermap.com,https://www.datacentermap.com/usa/connecticut/norwich/gotspace-bozrah-building-3/,Hyperscale,P1,False,5,252288.0
Gotspace Griswold 1 - Building 1,connecticut,41.585652,-71.973595,32.0,1.22,https://www.gotspacedatapartners.com/our-data-centers?utm_source=datacentermap.com,https://www.datacentermap.com/usa/connecticut/norwich/gotspace-griswold-1-building-1/,Hyperscale,P1,False,5,252288.0
Gotspace Griswold 2 Campus,connecticut,41.621337,-71.944467,1.0,1.91,https://www.gotspacedatapartners.com/our-data-centers?utm_source=datacentermap.com,https://www.datacentermap.com/usa/connecticut/norwich/gotspace-griswold-2-campus/,Small,P4,False,1,7884.0
Gotspace Bozrah - Building 1,connecticut,41.558159,-72.173531,32.0,1.22,https://www.gotspacedatapartners.com/our-data-centers?utm_source=datacentermap.com,https://www.datacentermap.com/usa/connecticut/norwich/gotspace-bozrah-building-1/,Hyperscale,P1,False,5,252288.0
Gotspace Griswold 2 - Building 1,connecticut,41.62585,-71.93781,1.0,1.91,https://www.gotspacedatapartners.com/our-data-centers?utm_source=datacentermap.com,https://www.datacentermap.com/usa/connecticut/norwich/gotspace-griswold-2-building-1/,Small,P4,False,1,7884.0
Gotspace Griswold 1 - Building 2,connecticut,41.585813,-71.972422,32.0,1.22,https://www.gotspacedatapartners.com/our-data-centers?utm_source=datacentermap.com,https://www.datacentermap.com/usa/connecticut/norwich/gotspace-griswold-1-building-2/,Hyperscale,P1,False,5,252288.0
Gotspace Griswold 2 - Building 4,connecticut,41.625581,-71.945449,1.0,1.91,https://www.gotspacedatapartners.com/our-data-centers?utm_source=datacentermap.com,https://www.datacentermap.com/usa/connecticut/norwich/gotspace-griswold-2-building-4/,Small,P4,False,1,7884.0
Gotspace Griswold 2 - Building 7,connecticut,41.618063,-71.950977,1.0,1.91,https://www.gotspacedatapartners.com/our-data-centers?utm_source=datacentermap.com,https://www.datacentermap.com/usa/connecticut/norwich/gotspace-griswold-2-building-7/,Small,P4,False,1,7884.0
Gotspace Griswold 2 - Building 5,connecticut,41.621647,-71.948987,1.0,1.91,https://www.gotspacedatapartners.com/our-data-centers?utm_source=datacentermap.com,https://www.datacentermap.com/usa/connecticut/norwich/gotspace-griswold-2-building-5/,Small,P4,False,1,7884.0
Gotspace Griswold 2 - Building 6,connecticut,41.619506,-71.950015,1.0,1.91,https://www.gotspacedatapartners.com/our-data-centers?utm_source=datacentermap.com,https://www.datacentermap.com/usa/connecticut/norwich/gotspace-griswold-2-building-6/,Small,P4,False,1,7884.0
Gotspace Griswold 2 - Building 2,connecticut,41.627531,-71.937034,1.0,1.91,https://www.gotspacedatapartners.com/our-data-centers?utm_source=datacentermap.com,https://www.datacentermap.com/usa/connecticut/norwich/gotspace-griswold-2-building-2/,Small,P4,False,1,7884.0
Gotspace Groton North Campus,connecticut,41.373567,-72.023414,96.0,1.22,https://www.gotspacedatapartners.com/our-data-centers?utm_source=datacentermap.com,https://www.datacentermap.com/usa/connecticut/groton/gotspace-groton-north-campus/,Hyperscale,P1,False,5,756864.0
Gotspace Groton South Campus,connecticut,41.36238796273298,-72.00955900217551,80.0,1.22,https://www.gotspacedatapartners.com/our-data-centers?utm_source=datacentermap.com,https://www.datacentermap.com/usa/connecticut/groton/gotspace-groton-south-campus/,Hyperscale,P1,False,5,630720.0
Gotspace Groton North - Building 1,connecticut,41.377775,-72.022531,32.0,1.22,https://www.gotspacedatapartners.com/our-data-centers?utm_source=datacentermap.com,https://www.datacentermap.com/usa/connecticut/groton/gotspace-groton-north-building-1/,Hyperscale,P1,False,5,252288.0
Gotspace Griswold 2 - Building 3,connecticut,41.621121,-71.941383,1.0,1.91,https://www.gotspacedatapartners.com/our-data-centers?utm_source=datacentermap.com,https://www.datacentermap.com/usa/connecticut/norwich/gotspace-griswold-2-building-3/,Small,P4,False,1,7884.0
Gotspace Groton South - Building 2,connecticut,41.36188,-72.011875,32.0,1.22,https://www.gotspacedatapartners.com/our-data-centers?utm_source=datacentermap.com,https://www.datacentermap.com/usa/connecticut/groton/gotspace-groton-south-building-2/,Hyperscale,P1,False,5,252288.0
Gotspace Groton South - Building 3,connecticut,41.356658,-72.013112,16.0,1.68,https://www.gotspacedatapartners.com/our-data-centers?utm_source=datacentermap.com,https://www.datacentermap.com/usa/connecticut/groton/gotspace-groton-south-building-3/,Midsize/Colo,P1,False,5,126144.0
Gotspace Groton South - Building 1,connecticut,41.363885,-72.009037,32.0,1.22,https://www.gotspacedatapartners.com/our-data-centers?utm_source=datacentermap.com,https://www.datacentermap.com/usa/connecticut/groton/gotspace-groton-south-building-1/,Hyperscale,P1,False,5,252288.0
Gotspace Groton North - Building 3,connecticut,41.371698,-72.023337,32.0,1.22,https://www.gotspacedatapartners.com/our-data-centers?utm_source=datacentermap.com,https://www.datacentermap.com/usa/connecticut/groton/gotspace-groton-north-building-3/,Hyperscale,P1,False,5,252288.0
Gotspace Groton North - Building 2,connecticut,41.373567,-72.023414,32.0,1.22,https://www.gotspacedatapartners.com/our-data-centers?utm_source=datacentermap.com,https://www.datacentermap.com/usa/connecticut/groton/gotspace-groton-north-building-2/,Hyperscale,P1,False,5,252288.0
CAPS Shelton,connecticut,41.2780663,-73.1249517,15.0,1.68,http://www.capscenters.com?utm_source=datacentermap.com,https://www.datacentermap.com/usa/connecticut/fairfield-county/caps/,Midsize/Colo,P3,False,1,118260.0
SteelVault OX-1,connecticut,41.4668938,-73.1541821,1.0,1.91,https://www.steelvaultdata.com?utm_source=datacentermap.com,https://www.datacentermap.com/usa/connecticut/oxford/steelvault-ox-1/,Small,P4,False,1,7884.0
CyrusOne NYM10 - Stamford,connecticut,41.0842163,-73.5179974,4.0,1.91,https://www.cyrusone.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/connecticut/stamford/stamford-data-center/,Small,P1,False,5,31536.0
CyrusOne NYM5 - Norwalk,connecticut,41.1130744,-73.388657,16.0,1.68,https://www.cyrusone.com/data-centers/north-america/totowa-nj-nym2?utm_source=datacentermap.com,https://www.datacentermap.com/usa/connecticut/norwalk/connecticut-2-data-center/,Midsize/Colo,P1,False,5,126144.0
Lumen Hartford 1,connecticut,41.7451292,-72.6649262,15.0,1.68,https://www.lumen.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/connecticut/hartford/level3-hartford1/,Midsize/Colo,P2,False,1,118260.0
Lumen Stamford,connecticut,41.04893,-73.530274,15.0,1.68,https://www.lumen.com/en-us/home.html?utm_source=datacentermap.com,https://www.datacentermap.com/usa/connecticut/stamford/level3-stamford/,Midsize/Colo,P2,False,1,118260.0
Lumen New Haven,connecticut,41.2998897,-72.9263321,15.0,1.68,https://www.lumen.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/connecticut/new-haven/level3-new-haven/,Midsize/Colo,P2,False,1,118260.0
TierPoint Waterbury,connecticut,41.5544499,-73.0412624,15.0,1.68,https://www.tierpoint.com?utm_source=datacentermap.com,https://www.datacentermap.com/usa/connecticut/waterbury/xand-waterbury/,Midsize/Colo,P2,False,1,118260.0
