Name,State,Latitude,Longitude,IT Load (MW),PUE,Website,Source URL,Space Type,Classification_Source,Is_Aggregated,Confidence_Score,Annual_Heat_MWh
Citynet Charleston,west-virginia,38.35839581448315,-81.64901670643285,15.0,1.68,https://www.citynet.net/network-services/data-center-colocation/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/west-virginia/charleston-wv/citynet-charleston/,Midsize/Colo,P3,False,1,118260.0
Alpha Technologies Global Data Center,west-virginia,38.3531328,-81.6962176,1.0,1.91,https://www.alpha-tech.us/services/datacenter?utm_source=datacentermap.com,https://www.datacentermap.com/usa/west-virginia/charleston-wv/alpha-technologies-global-data-center/,Small,P4,False,1,7884.0
Pinnacle Technical Solutions Data Center,west-virginia,38.4429661,-81.8304996,15.0,1.68,http://pinnacle-tech.us?utm_source=datacentermap.com,https://www.datacentermap.com/usa/west-virginia/charleston-wv/pinnacle-technical/,Midsize/Colo,P3,False,1,118260.0
Continent 8 West Virginia DC2,west-virginia,38.97867688842888,-79.14621595508856,1.25,1.91,https://www.continent8.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/west-virginia/petersburg/continent-8-west-virginia-dc2/,Small,P1,False,5,9855.0
Monarch Compute Campus,west-virginia,38.889302359691,-82.10050626778087,8000.0,1.22,https://www.nscale.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/west-virginia/point-pleasant/monarch-compute-campus/,Hyperscale,P1,False,5,63072000.0
Citynet Bridgeport,west-virginia,39.27672167681085,-80.27020733241208,15.0,1.68,https://www.citynet.net/network-services/data-center-colocation/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/west-virginia/bridgeport-wv/citynet-bridgeport/,Midsize/Colo,P3,False,1,118260.0
Citynet Morgantown,west-virginia,39.65976595957245,-79.99023425767129,15.0,1.68,https://www.citynet.net/network-services/data-center-colocation/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/west-virginia/morgantown/citynet-morgantown/,Midsize/Colo,P3,False,1,118260.0
Reliable Hosting Services,west-virginia,39.63092,-78.22521,1.0,1.91,https://www.reliablehostingservices.net/berkeley.php?utm_source=datacentermap.com,https://www.datacentermap.com/usa/west-virginia/berkeley-springs/reliable-hosting/,Small,P4,False,1,7884.0
Ridgeline Facility,west-virginia,39.15364,-79.46641,1.0,1.91,https://fundamentaldata.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/west-virginia/parsons/ridgeline-facility/,Small,P4,False,1,7884.0
