Name,State,Latitude,Longitude,IT Load (MW),PUE,Website,Source URL,Space Type,Classification_Source,Is_Aggregated,Confidence_Score,Annual_Heat_MWh
Crown Castle Providence,rhode-island,41.8178587,-71.4288484,15.0,1.68,https://www.crowncastle.com/infrastructure-solutions/colocation?utm_source=datacentermap.com,https://www.datacentermap.com/usa/rhode-island/providence/crown-castle-providence/,Midsize/Colo,P3,False,1,118260.0
Crown Castle Providence (RI1),rhode-island,41.8287586,-71.4192579,15.0,1.68,https://www.crowncastle.com/infrastructure-solutions/colocation?utm_source=datacentermap.com,https://www.datacentermap.com/usa/rhode-island/providence/lightower-providence/,Midsize/Colo,P3,False,1,118260.0
MegaNet Rhode Island Datacenter,rhode-island,41.829229,-71.421059,15.0,1.68,https://meganet.net/services/colo/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/rhode-island/providence/meganet-foundry/,Midsize/Colo,P3,False,1,118260.0
Prov.net Providence 3,rhode-island,41.8179711,-71.4290394,1.0,1.91,http://prov.net?utm_source=datacentermap.com,https://www.datacentermap.com/usa/rhode-island/providence/pvd2/,Small,P4,False,1,7884.0
Prov.net Providence 1,rhode-island,41.817606,-71.4237861,15.0,1.68,https://provdotnet.wpengine.com/colocation-services/data-centers/providence-data-centers/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/rhode-island/providence/provnet-providence-1/,Midsize/Colo,P3,False,1,118260.0
Prov.net Providence 2,rhode-island,41.817203,-71.427762,1.0,1.91,https://prov.net/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/rhode-island/providence/pdc1/,Small,P4,False,1,7884.0
Lumen Providence 1,rhode-island,41.829468,-71.4239465,15.0,1.68,https://www.lumen.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/rhode-island/providence/level3-providence1/,Midsize/Colo,P2,False,1,118260.0
