Name,State,Latitude,Longitude,IT Load (MW),PUE,Website,Source URL,Space Type,Classification_Source,Is_Aggregated,Confidence_Score,Annual_Heat_MWh
GCI Anchorage,alaska,61.15843432110262,-149.8904796210693,1.0,1.91,https://gci.com/business/products/network-and-wholesale/data-center-and-colocation?utm_source=datacentermap.com,https://www.datacentermap.com/usa/alaska/anchorage/gci-anchorage/,Small,P4,False,1,7884.0
Prudhoe Bay Data Center,alaska,70.2269426635253,-148.4006144429898,120.0,1.22,https://www.fn-digital.com/data-center?utm_source=datacentermap.com,https://www.datacentermap.com/usa/alaska/prudhoe-bay/prudhoe-bay-data-center/,Hyperscale,P1,False,5,946080.0
Alasconnect Anchorage Data Center,alaska,61.1888889,-149.9122978,15.0,1.68,https://alasconnect.com/services/data-center-hosting-services/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/alaska/anchorage/anchorage-dc5/,Midsize/Colo,P3,False,1,118260.0
Talkeetna Alaska Teleport,alaska,62.3324741,-150.032099,0.55,1.91,https://www.alaskateleport.com/infrastructure/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/alaska/anchorage/talkeetna-alaska-teleport/,Small,P1,False,5,4336.200000000001
Alasconnect Fairbanks Data Center,alaska,64.8516133,-147.7196396,15.0,1.68,https://alasconnect.com/services/data-center-hosting-services/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/alaska/fairbanks/fairbanks-dc1/,Midsize/Colo,P3,False,1,118260.0
Greensparc Wrangell,alaska,56.39688301436531,-132.336778765115,2.0,1.91,https://www.greensparc.com/projects/cordova-electric-data-center?utm_source=datacentermap.com,https://www.datacentermap.com/usa/alaska/wrangell/greensparc-wrangell/,Small,P1,False,5,15768.0
