Name,State,Latitude,Longitude,IT Load (MW),PUE,Website,Source URL,Space Type,Classification_Source,Is_Aggregated,Confidence_Score,Annual_Heat_MWh
34 St. Martin Drive,massachusetts,42.7167588,-70.9731097,1.0,1.91,https://www.rreefpropertytrust.com?utm_source=datacentermap.com,https://www.datacentermap.com/usa/massachusetts/marlborough/34-st-martin-drive/,Small,P4,False,1,7884.0
Crown Castle Worcester (MA3),massachusetts,42.2623616,-71.8030857,1.0,1.91,https://www.crowncastle.com/infrastructure-solutions/colocation?utm_source=datacentermap.com,https://www.datacentermap.com/usa/massachusetts/worcester/lightower-worcester/,Small,P1,False,5,7884.0
Cogent Data Center - Worcester,massachusetts,42.2537905,-71.8080499,15.0,1.68,https://www.cogentco.com/en/cogent-boston?utm_source=datacentermap.com,https://www.datacentermap.com/usa/massachusetts/worcester/cogent-data-center-worcester/,Midsize/Colo,P3,False,1,118260.0
Congruity360 Data Center,massachusetts,41.702821,-71.146725,1.0,1.91,https://www.congruity360.com?utm_source=datacentermap.com,https://www.datacentermap.com/usa/massachusetts/fall-river/granite-block-data/,Small,P4,False,1,7884.0
MegaNet Massachusetts Datacenter,massachusetts,41.6986693,-71.1505242,15.0,1.68,https://meganet.net/services/colo/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/massachusetts/fall-river/meganet-ma-datacenter/,Midsize/Colo,P3,False,1,118260.0
Fitchburg Fiber 166 Boulder,massachusetts,42.58219197767967,-71.80123688217682,1.0,1.91,https://fbfiber.net/business?utm_source=datacentermap.com,https://www.datacentermap.com/usa/massachusetts/fitchburg/fitchburg-166-boulder/,Small,P4,False,1,7884.0
NaviSite Andover,massachusetts,42.6959879,-71.2109422,1.0,1.91,https://www.navisite.com/services/colocation/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/massachusetts/andover/navisite-andover/,Small,P4,False,1,7884.0
Lightpath Data Center,massachusetts,42.3673581,-71.0867568,50.0,1.22,https://lightpathfiber.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/massachusetts/cambridge-ma/cambridge-network-solutions/,Hyperscale,P3,False,1,394200.0
Codman Hill Rd,massachusetts,42.4849864,-71.5481925,1.0,1.91,http://stubblebinecompany.com?utm_source=datacentermap.com,https://www.datacentermap.com/usa/massachusetts/acton-boxborough/codman-hill-rd/,Small,P4,False,1,7884.0
CoreSite Boston (BO1),massachusetts,42.3767175,-71.0797876,15.0,1.68,https://www.coresite.com/data-center-locations/boston?utm_source=datacentermap.com,https://www.datacentermap.com/usa/massachusetts/boston/70-innerbelt/,Midsize/Colo,P2,False,1,118260.0
