Name,State,Latitude,Longitude,IT Load (MW),PUE,Website,Source URL,Space Type,Classification_Source,Annual_Heat_MWh
IronGate The Bunker,michigan,42.5000753,-83.0328378,45.0,1.22,https://www.irongatedatacenters.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/michigan/detroit/irongate-the-bunker-data-center/,Hyperscale,P1,354780.0
RT Software Systems,michigan,42.5027567,-83.1985716,1.0,1.91,https://208.92.220.39/green/default.htm?utm_source=datacentermap.com,https://www.datacentermap.com/usa/michigan/detroit/rt-3811/,Small,P4,7884.0
Windstream Farmington Hills,michigan,42.46193210000001,-83.421101,1.0,1.91,https://www.windstreamwholesale.com/solutions/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/michigan/detroit/windstream-farmington-hills/,Small,P4,7884.0
Google Van Buren Campus,michigan,42.228252,-83.437076,1000.0,1.22,https://www.panattoni.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/michigan/detroit/panattoni-van-buren-campus/,Hyperscale,P1,7884000.0
Shoemaker Data Center,michigan,42.39088424512892,-82.9881281352283,1.0,1.91,,https://www.datacentermap.com/usa/michigan/detroit/shoemaker-data-center/,Small,P4,7884.0
Verizon Detroit #2,michigan,42.4472794,-83.2554361,1.0,1.91,https://www.verizon.com/business/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/michigan/detroit/xo-detroit2/,Small,P4,7884.0
Google Van Buren - Building 1,michigan,42.229408,-83.442454,50.0,1.22,https://www.panattoni.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/michigan/detroit/panattoni-van-buren-building-1/,Hyperscale,P2,394200.0
Google Van Buren - Building 3,michigan,42.228152,-83.4282,50.0,1.22,https://www.panattoni.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/michigan/detroit/panattoni-van-buren-building-3/,Hyperscale,P2,394200.0
Lumen Detroit 3,michigan,42.325094,-83.069586,15.0,1.68,https://www.lumen.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/michigan/detroit/level3-detroit3/,Midsize/Colo,P2,118260.0
Lumen Detroit,michigan,42.472908,-83.240117,15.0,1.68,https://www.lumen.com/en-us/home.html?utm_source=datacentermap.com,https://www.datacentermap.com/usa/michigan/detroit/level3-detroit/,Midsize/Colo,P2,118260.0
Google Van Buren - Building 2,michigan,42.225406,-83.431683,50.0,1.22,https://www.panattoni.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/michigan/detroit/panattoni-van-buren-building-2/,Hyperscale,P2,394200.0
ACD.net MetroIX,michigan,42.7550645,-84.5571376,1.0,1.91,https://acd.net/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/michigan/lansing/acd-metroix/,Small,P4,7884.0
Deep Green DG06 - Lansing,michigan,42.7306484,-84.5453201,20.0,1.17,https://deepgreen.energy/sites/site-details-dg-lansing?utm_source=datacentermap.com,https://www.datacentermap.com/usa/michigan/lansing/deep-green-lansing-dg06/,Midsize/Colo,P1,157680.0
