fips,dc_count,total_it_load_mw,total_recoverable_kwh,total_heat_delivered_kwh,total_cooling_delivered_kwh,dc_count_hyperscale,it_load_mw_hyperscale,dc_count_ai_specialized,it_load_mw_ai_specialized,dc_count_midsize_colo,it_load_mw_midsize_colo,dc_count_small,it_load_mw_small,aggregated_count,original_it_load_mw,total_space_heating_kwh,total_space_heating_mbtu,total_space_cooling_kwh,total_space_cooling_mbtu,heating_coverage_ratio,cooling_coverage_ratio,heating_coverage_pct,cooling_coverage_pct,heating_demand_mw,cooling_demand_mw,heat_delivered_mw,cooling_delivered_mw,county_name,state_abbr,county_label
05119,6,1082.0,1996386480.0,5989159440.0,1397470536.0,2,1050.0,0,0.0,2,30.0,2,2.0,0,1000.0,2519356335.8555255,8596401.566538744,1554890836.9057531,5305508.330021271,2.3772577760288107,0.8987579724766911,200.0,89.87579724766911,287.59775523464907,177.49895398467504,683.694,159.5286,Pulaski County,AR,"Pulaski County, AR"
06001,11,229.2,834552936.0,2503658808.0,584187055.1999999,2,117.2,0,0.0,6,95.0,3,17.0,0,103.2,4440783161.972191,15152582.739858115,731632103.8628051,2496432.6301386394,0.5637876736336982,0.7984710513872503,56.37876736336982,79.84710513872503,506.9387171201131,83.51964655968096,285.8058,66.68802,Alameda County,CA,"Alameda County, CA"
06005,1,41.0,71113679.99999997,213341039.9999999,49779575.99999998,1,41.0,0,0.0,0,0.0,0,0.0,0,41.0,317280003.35327166,1082604.425201839,20294334.30334921,69247.15043849859,0.672406195616614,2.452880456974869,67.24061956166139,200.0,36.21917846498535,2.3167048291494536,24.35399999999999,5.682599999999997,Amador County,CA,"Amador County, CA"
06007,1,2.3,16501212.0,49503636.0,11550848.399999999,0,0.0,0,0.0,0,0.0,1,2.3,0,2.3,771396271.3964921,2632113.616275369,436109574.3754224,1488067.7953285023,0.06417406699462187,0.02648611513870713,6.4174066994621874,2.648611513870713,88.05893509092375,49.78419798806192,5.6511000000000005,1.31859,Butte County,CA,"Butte County, CA"
06013,1,92.0,159572159.99999997,478716479.9999999,111700511.99999997,1,92.0,0,0.0,0,0.0,0,0.0,0,92.0,3408364485.415005,11629823.611992927,1378554443.53403,4703823.516069092,0.14045342921759466,0.0810272764517353,14.045342921759465,8.10272764517353,389.0827038144983,157.36922871393034,54.64799999999998,12.751199999999997,Contra Costa County,CA,"Contra Costa County, CA"
06019,3,31.0,168008040.0,504024120.0,117605628.0,0,0.0,0,0.0,2,30.0,1,1.0,0,0.0,2500739746.7509727,8532879.120958358,2141363398.2478864,7306635.988424338,0.20155000961409178,0.05492091071334631,20.15500096140918,5.492091071334631,285.47257383001977,244.4478765123158,57.537,13.4253,Fresno County,CA,"Fresno County, CA"
06023,1,1.0,7174439.999999999,21523319.999999996,5022107.999999999,0,0.0,0,0.0,0,0.0,1,1.0,0,0.0,675234903.6648226,2303997.374660695,29081231.120043132,99229.2901164062,0.03187530722002469,0.17269241385515835,3.187530722002469,17.269241385515834,77.08161000739985,3.3197752420140563,2.4569999999999994,0.5732999999999998,Humboldt County,CA,"Humboldt County, CA"
06025,13,1340.0,2378602800.0,7135808399.999999,1665021959.9999998,3,1330.0,0,0.0,0,0.0,10,10.0,0,1330.0,99745448.50561535,340345.63415484736,567354781.9174354,1935895.080281322,71.54019062431982,2.934710366541518,200.0,200.0,11.386466724385315,64.7665276161456,814.5899999999999,190.07099999999997,Imperial County,CA,"Imperial County, CA"
06029,3,75.0,238885200.0,716655600.0,167219640.0,1,45.0,0,0.0,2,30.0,0,0.0,0,45.0,1844158030.4837327,6292529.070450825,2119657901.7938511,7232573.752342676,0.38860856182266407,0.0788899189149736,38.86085618226641,7.88899189149736,210.52032311458134,241.97008011345332,81.81,19.089,Kern County,CA,"Kern County, CA"
06037,72,792.365,3409027014.6,10227081043.8,2386318910.22,5,205.0,1,20.0,31,505.9,35,61.465,0,376.365,19072727623.353073,65078854.9782032,16328174798.810623,55714051.014363274,0.536214916175793,0.14614731527701577,53.621491617579295,14.614731527701577,2177.2520117982963,1863.9468948413953,1167.4750049999998,272.4108345,Los Angeles County,CA,"Los Angeles County, CA"
